id,created_at,updated_at,detail,name,dx_code
13,1644981056507,,Không có yêu cầu đặc biệt,Không xác định,62ddc913a033170dbbae09e3
8,1644833220700,,Tránh ẩm,Tránh ẩm,62ddc925a033170dbbae09ed
9,1644833241068,,Hàng dễ hỏng,Hàng dễ hỏng,62ddc939a033170dbbae09f7
10,1644833255783,,Tránh nhiệt độ cao,Tránh nhiệt độ cao,62ddc949a033170dbbae0a01
11,1644833291004,,Hàng hóa chất,Hóa chất,62ddc95ea033170dbbae0a0b
12,1644833313870,,Thực phẩm rau củ và đồ khô,Rau củ đồ khô,62ddc970a033170dbbae0a15
15,1659232167717,,Tránh va đập mạnh,Đồ nội thất,62e5dfa74ffe4928a6b042b8
16,1659232214452,,Tránh va đập mạnh,Đồ điện gia dụng,62e5dfd64ffe4928a6b042c2
